DEPARTAMENTO,CIUDAD,SERIAL,PRODUCTO,FECHA INSTALACION,FECHA TERMINACION,ESTADO
VALLE DEL CAUCA,PALMIRA,3002071.0,Producto-Oro,5/03/2020,,Con servicio
TOLIMA,IBAGUÉ,3194094.0,Producto-Plata,15/08/2023,,Con servicio
VALLE DEL CAUCA,PALMIRA,3021114.0,Producto-Plata,26/02/2024,,Con servicio
VALLE DEL CAUCA,PALMIRA,3001881.0,Producto-Bronce,12/05/2022,,Con servicio
VALLE DEL CAUCA,GUADALAJARA DE BUGA,3262138.0,Producto-Plata,16/05/2024,,Con servicio
VALLE DEL CAUCA,EL CERRITO,3105407.0,Producto-Bronce,22/05/2024,,Con servicio
TOLIMA,IBAGUÉ,3117650.0,Producto-Oro,10/10/2023,,Con servicio
TOLIMA,IBAGUÉ,3120538.0,Producto-Bronce,26/04/2023,,Con servicio
VALLE DEL CAUCA,PALMIRA,3012492.0,Producto-Oro,19/03/2024,,Con servicio
TOLIMA,CARMEN DE APICALA,3235904.0,Producto-Bronce,9/03/2024,,Con servicio
VALLE DEL CAUCA,EL CERRITO,3364951.0,Producto-Plata,20/12/2023,,Con servicio
TOLIMA,MELGAR,3228657.0,Producto-Oro,5/05/2023,,Con servicio
VALLE DEL CAUCA,PALMIRA,3260402.0,Producto-Plata,12/10/2024,,Con servicio
VALLE DEL CAUCA,GUADALAJARA DE BUGA,3261794.0,Producto-Oro,12/12/2022,,Con servicio
TOLIMA,IBAGUÉ,3117391.0,Producto-Plata,16/08/2023,,Con servicio
VALLE DEL CAUCA,PALMIRA,3020835.0,Producto-Oro,17/04/2024,,Con servicio
VALLE DEL CAUCA,TULUÁ,3361381.0,Producto-Bronce,15/06/2022,,Con servicio
VALLE DEL CAUCA,CANDELARIA,3326217.0,Producto-Oro,16/11/2024,,Con servicio
VALLE DEL CAUCA,CANDELARIA,3092356.0,Producto-Oro,6/05/2024,,Con servicio
VALLE DEL CAUCA,JAMUNDÍ,3256049.0,Producto-Oro,9/01/2024,,Con servicio
VALLE DEL CAUCA,SEVILLA,3286800.0,Producto-Oro,26/05/2023,,Con servicio
VALLE DEL CAUCA,PRADERA,3082301.0,Producto-Oro,20/08/2022,,Con servicio
VALLE DEL CAUCA,CANDELARIA,3306747.0,Producto-Oro,26/10/2024,,Con servicio
VALLE DEL CAUCA,GUADALAJARA DE BUGA,3101479.0,Producto-Oro,12/02/2024,,Con servicio
VALLE DEL CAUCA,PALMIRA,3274241.0,Producto-Bronce,13/01/2023,,Con servicio
TOLIMA,IBAGUÉ,3204766.0,Producto-Plata,19/06/2024,,Con servicio
VALLE DEL CAUCA,PALMIRA,3015378.0,Producto-Bronce,15/11/2024,,Con servicio
VALLE DEL CAUCA,JAMUNDÍ,3090051.0,Producto-Oro,25/10/2024,,Con servicio
TOLIMA,IBAGUÉ,3116328.0,Producto-Plata,3/05/2023,,Con servicio
TOLIMA,ESPINAL,3147460.0,Producto-Oro,19/06/2024,,Con servicio
VALLE DEL CAUCA,JAMUNDÍ,3291553.0,Producto-Plata,21/11/2024,,Con servicio
TOLIMA,IBAGUÉ,3231860.0,Producto-Plata,3/05/2024,,Con servicio
VALLE DEL CAUCA,CANDELARIA,3013723.0,Producto-Bronce,24/08/2022,,Con servicio
VALLE DEL CAUCA,JAMUNDÍ,3020118.0,Producto-Bronce,11/02/2021,,Con servicio
VALLE DEL CAUCA,CANDELARIA,3013421.0,Producto-Oro,8/03/2021,,Con servicio
VALLE DEL CAUCA,PALMIRA,3274276.0,Producto-Oro,11/01/2023,,Con servicio
TOLIMA,IBAGUÉ,3196143.0,Producto-Oro,11/07/2024,,Con servicio
TOLIMA,IBAGUÉ,3126897.0,Producto-Bronce,20/09/2022,,Con servicio
TOLIMA,IBAGUÉ,3121208.0,Producto-Oro,7/11/2024,,Con servicio
TOLIMA,IBAGUÉ,3160211.0,Producto-Plata,14/11/2024,,Con servicio
TOLIMA,IBAGUÉ,3183882.0,Producto-Oro,15/03/2024,,Con servicio
VALLE DEL CAUCA,LA UNIÓN,3288102.0,Producto-Oro,7/02/2024,,Con servicio
TOLIMA,IBAGUÉ,3155579.0,Producto-Plata,14/09/2024,,Con servicio
VALLE DEL CAUCA,CANDELARIA,3075788.0,Producto-Bronce,13/09/2023,,Con servicio
